"Jan 4th, 2023",,,,,,
"May 15th, 2012",,,,,,
"May 15th, 2012",,,,,,
"Oct 2nd, 2012",,,2004,,146,
"Jun 1st, 2013",,,2005,,167,
"Jun 1st, 2013",,,2006,,172,
"Jun 1st, 2013",,,2007,,91,
"Oct 2nd, 2012",,,2008,,161,
"Oct 2nd, 2012",,,2009,,129,
"Jun 1st, 2013",,,2010,,159,
"Sep 16th, 2013",,,2011,,210,
"Oct 28th, 2013",,,2012,,257,
"Oct 28th, 2013",,,2013,,240,
"Jun 1st, 2013",,,2014,,158,
"Jan 14th, 2014",,,2015,,122,
"Jul 31st, 2014",,,2016,,65,
"Jan 14th, 2014",,,2017,,128,
"Feb 2nd, 2016",,,2018,,142,
"May 28th, 2015",,,2019,,140,
"Jan 11th, 2016",,,2020,,113,
"Jul 27th, 2017",,,2021,,173,
"Jul 27th, 2017",,,2022,,142,
"Jul 31st, 2014",,,2023,,297,
"Jul 31st, 2014",,,2024,,123,
"Jun 1st, 2007",,,,3459,3335,124
"Jun 1st, 2007",,,,,,
"Jul 27th, 2017",,,,,,
"Jul 27th, 2017",,,,,,
"May 23rd, 2013",,,,,,
"May 23rd, 2013",,,,,,
"Oct 18th, 2013",,,,,,
"Sep 7th, 2011",,,,,,
"Jun 14th, 2011",,,,,,
"Jun 14th, 2011",,,,,,
"Jun 14th, 2011",,,,,,
"Dec 20th, 2011",,,,,,
"Dec 20th, 2011",,,,,,
"Sep 7th, 2011",,,,,,
"Dec 20th, 2011",,,,,,
May-13,,,,,,
Jan-14,,,,,,
"May 15th, 2012",,,,,,
"Sep 27th, 2012",,,,,,
"May 23rd, 2013",,,,,,
"Feb 1st, 2014",,,,,,
"Nov 4th, 2013",,,,,,
"Jun 1st, 2013",,,,,,
"Mar 12th, 2013",,,,,,
"Oct 2nd, 2012",,,,,,
"Oct 2nd, 2012",,,,,,
"Jun 1st, 2013",,,,,,
"Jun 1st, 2013",,,,,,
Dec-13,,,,,,
Mar-14,,,,,,
Aug-14,,,,,,
Apr-17,,,,,,
"Jan 7th, 2019",,,,,,
"Jan 7th, 2019",,,,,,
Apr-17,,,,,,
